[2024-08-26 10:35:29.706] [bm] [info] Params: run_name          sampleN20
[2024-08-26 10:35:29.706] [bm] [info] Params: input_data        ../Data/sampleN20.dat
[2024-08-26 10:35:29.706] [bm] [info] Params: input_init_guess  ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000
[2024-08-26 10:35:29.706] [bm] [info] Params: output_data       ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.json
[2024-08-26 10:35:29.706] [bm] [info] Params: output_err        ../Results_Metropolis/err_sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.txt
[2024-08-26 10:35:29.706] [bm] [info] Params: use_exact         false
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_display      100
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_max          150000
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_J             0.05
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_h             0.03
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_S         0.00058
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_SS        0.000705
[2024-08-26 10:35:29.706] [bm] [info] Params: n_rep             40
[2024-08-26 10:35:29.706] [bm] [info] Params: t_eq              9000
[2024-08-26 10:35:29.706] [bm] [info] Params: t_meas            270000
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: read from ../Data/sampleN20.dat
[2024-08-26 11:06:07.407] [bm] [info] main: sampleN20 iter=3900 err_S=1.517919E-03 err_SS=1.266771E-03
[2024-08-26 11:06:52.829] [bm] [info] main: sampleN20 iter=4000 err_S=1.690959E-03 err_SS=1.606770E-03
[2024-08-26 11:07:38.171] [bm] [info] main: sampleN20 iter=4100 err_S=1.008381E-03 err_SS=1.152305E-03
[2024-08-26 11:08:23.532] [bm] [info] main: sampleN20 iter=4200 err_S=1.130537E-03 err_SS=1.111757E-03
[2024-08-26 11:09:08.915] [bm] [info] main: sampleN20 iter=4300 err_S=1.232938E-03 err_SS=1.234567E-03
[2024-08-26 11:09:54.316] [bm] [info] main: sampleN20 iter=4400 err_S=1.394493E-03 err_SS=1.259679E-03
[2024-08-26 11:10:39.715] [bm] [info] main: sampleN20 iter=4500 err_S=1.140100E-03 err_SS=1.426511E-03
[2024-08-26 11:11:25.155] [bm] [info] main: sampleN20 iter=4600 err_S=9.997811E-04 err_SS=1.200833E-03
[2024-08-26 11:12:10.615] [bm] [info] main: sampleN20 iter=4700 err_S=1.178591E-03 err_SS=1.720889E-03
[2024-08-26 11:12:56.006] [bm] [info] main: sampleN20 iter=4800 err_S=1.712501E-03 err_SS=1.473265E-03
[2024-08-26 11:13:41.470] [bm] [info] main: sampleN20 iter=4900 err_S=1.207736E-03 err_SS=1.460543E-03
[2024-08-26 11:14:26.875] [bm] [info] main: sampleN20 iter=5000 err_S=9.869233E-04 err_SS=1.198811E-03
[2024-08-26 11:15:12.320] [bm] [info] main: sampleN20 iter=5100 err_S=1.329020E-03 err_SS=1.380093E-03
[2024-08-26 11:15:57.972] [bm] [info] main: sampleN20 iter=5200 err_S=1.503685E-03 err_SS=1.508788E-03
[2024-08-26 11:16:44.771] [bm] [info] main: sampleN20 iter=5300 err_S=1.474323E-03 err_SS=1.660119E-03
[2024-08-26 11:17:31.562] [bm] [info] main: sampleN20 iter=5400 err_S=1.387161E-03 err_SS=1.410382E-03
[2024-08-26 11:18:18.324] [bm] [info] main: sampleN20 iter=5500 err_S=1.352527E-03 err_SS=9.927677E-04
[2024-08-26 11:19:05.070] [bm] [info] main: sampleN20 iter=5600 err_S=1.351136E-03 err_SS=1.193392E-03
[2024-08-26 11:19:51.844] [bm] [info] main: sampleN20 iter=5700 err_S=1.204195E-03 err_SS=1.325976E-03
