[2024-08-08 16:32:26.796] [bm] [info] Params: run_name          sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: input_data        ./Data/sampleN30.dat
[2024-08-08 16:32:26.796] [bm] [info] Params: input_init_guess  ./Results/sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: output_data       ./Results/sampleN30.json
[2024-08-08 16:32:26.796] [bm] [info] Params: output_err        ./Results/err_sampleN30.txt
[2024-08-08 16:32:26.796] [bm] [info] Params: use_exact         false
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_display      100
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_max          150000
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_J             0.05
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_h             0.03
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_S         0.0006670033
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_SS        0.0009712739
[2024-08-08 16:32:26.796] [bm] [info] Params: n_rep             40
[2024-08-08 16:32:26.796] [bm] [info] Params: t_eq              9000
[2024-08-08 16:32:26.796] [bm] [info] Params: t_meas            270000
[2024-08-08 16:32:26.802] [bm] [info] read_tidy_data: read from ./Data/sampleN30.dat
[2024-08-08 17:06:15.923] [bm] [info] main: sampleN30 iter=4600 err_S=0.001769 err_SS=0.001730
[2024-08-08 17:06:59.794] [bm] [info] main: sampleN30 iter=4700 err_S=0.002138 err_SS=0.001995
[2024-08-08 17:07:43.707] [bm] [info] main: sampleN30 iter=4800 err_S=0.002054 err_SS=0.002397
[2024-08-08 17:08:27.697] [bm] [info] main: sampleN30 iter=4900 err_S=0.001981 err_SS=0.002086
[2024-08-08 17:09:11.842] [bm] [info] main: sampleN30 iter=5000 err_S=0.001525 err_SS=0.001678
[2024-08-08 17:09:55.805] [bm] [info] main: sampleN30 iter=5100 err_S=0.001716 err_SS=0.002051
[2024-08-08 17:10:39.627] [bm] [info] main: sampleN30 iter=5200 err_S=0.002021 err_SS=0.001991
[2024-08-08 17:11:24.177] [bm] [info] main: sampleN30 iter=5300 err_S=0.001697 err_SS=0.001643
[2024-08-08 17:12:09.462] [bm] [info] main: sampleN30 iter=5400 err_S=0.001469 err_SS=0.001396
[2024-08-08 17:12:54.881] [bm] [info] main: sampleN30 iter=5500 err_S=0.002453 err_SS=0.002178
[2024-08-08 17:13:39.337] [bm] [info] main: sampleN30 iter=5600 err_S=0.001358 err_SS=0.001338
[2024-08-08 17:14:24.434] [bm] [info] main: sampleN30 iter=5700 err_S=0.001674 err_SS=0.001886
[2024-08-08 17:15:09.386] [bm] [info] main: sampleN30 iter=5800 err_S=0.001074 err_SS=0.001099
[2024-08-08 17:15:53.889] [bm] [info] main: sampleN30 iter=5900 err_S=0.001356 err_SS=0.001871
[2024-08-08 17:16:38.180] [bm] [info] main: sampleN30 iter=6000 err_S=0.001512 err_SS=0.001722
[2024-08-08 17:17:23.059] [bm] [info] main: sampleN30 iter=6100 err_S=0.001738 err_SS=0.002076
[2024-08-08 17:18:07.561] [bm] [info] main: sampleN30 iter=6200 err_S=0.001555 err_SS=0.001510
