inter erroJ erroh
1 0.7644021370283 0.8719775702293
2 0.2370700467611 0.1290753077601
3 0.237078780716 0.1290840473767
4 0.2370787807926 0.1290840474533
5 0.2370591390163 0.1290736309798
6 0.2339127119953 0.1274165995333
7 0.1941813708063 0.1535816485059
8 0.09994687622596 0.07379517385001
9 0.1226808864498 0.08551245222442
10 0.1674689070593 0.09390472659445
11 0.3410674923041 0.2223937761602
12 0.2316702158499 0.1263747449891
13 0.08953164212597 0.05242269910518
14 0.1742775217981 0.1071160559195
15 0.1907477009475 0.1055384380671
16 0.2158635599919 0.1331943073514
17 0.2020171539 0.1112891184921
18 0.1450923611999 0.08912926292072
19 0.1616990218222 0.09041381164354
20 0.188451548321 0.1152775246486
21 0.18090617395 0.100373752518
22 0.1493503419693 0.09124631819467
23 0.1542625144242 0.08644287392848
24 0.1566702645083 0.09494039409858
25 0.1550910069256 0.08683121635811
26 0.1395863725938 0.08429806534958
27 0.1386539747164 0.07808932811381
28 0.128955828919 0.07790027274292
29 0.12684807174 0.07170130961453
30 0.1187266333618 0.07133024688597
31 0.1167398506198 0.06623865638976
32 0.1079889018216 0.06499121245199
33 0.1046849186095 0.05977382578251
34 0.09815335433987 0.05886934707611
35 0.0947745073828 0.05422954490444
36 0.08617076383047 0.05152354349146
37 0.0834230962829 0.04797523597526
38 0.07729829085278 0.04612531431059
39 0.07411533306472 0.04277653812069
40 0.06656320577352 0.03964821986335
41 0.06253184101631 0.03621607747579
42 0.05604091827577 0.03333079053429
43 0.05211666797366 0.0303437832251
44 0.04666784017266 0.0277075589641
45 0.04298259546714 0.02512023664285
46 0.03809647604291 0.02271323799899
47 0.03554482095267 0.02086123632899
48 0.03253990910462 0.01940716757708
49 0.02909032778787 0.01719408656824
50 0.0252252399772 0.01508728746478
51 0.02187324880381 0.01312393692484
52 0.01831205081909 0.01122113882771
53 0.01579557751973 0.009487650835338
54 0.01386085538587 0.008849157325256
55 0.01130248928613 0.006661139149541
56 0.007703948879036 0.005079540021669
57 0.005424722311819 0.00407368518954
58 0.004492065393619 0.003702644889268
59 0.003513420164122 0.003322581572752
60 0.003475756189369 0.003218187538626
61 0.003774317095075 0.002583933052235
62 0.003398713153615 0.002899979190772
63 0.002518813313106 0.002866551749728
64 0.002709180090448 0.002524348248036
65 0.002391040891278 0.002841539838133
66 0.002505715765804 0.002940191192965
67 0.002270150100206 0.002582791491064
68 0.003073067623429 0.004566339450069
69 0.002821015978466 0.003268351607197
70 0.002415983262059 0.003169741929904
71 0.002258586469773 0.002586121337327
72 0.002104645294827 0.003101352044701
73 0.002012255519383 0.002660322369657
74 0.001720568373371 0.002688267941711
75 0.002008888304523 0.002844900289589
76 0.003073482527461 0.002519714574465
77 0.002572902183181 0.002565387387123
78 0.002022121518908 0.002708098031328
79 0.002351690578562 0.002340143701921
80 0.00188730125637 0.002779865643623
81 0.00254129608991 0.002418748490385
82 0.002569901210692 0.002916160817172
83 0.00280773368202 0.003426151335761
84 0.002041628588745 0.002969444283208
85 0.001875669325597 0.002630904379042
86 0.001995808829889 0.002343503973121
87 0.001992041872337 0.002800157461709
88 0.001840382993721 0.00238244040176
89 0.001918200711634 0.002886882853948
90 0.003540292425245 0.003135662312549
91 0.002119393128981 0.002825518022367
92 0.001878860609188 0.002480206563828
93 0.001730840681236 0.002411815977333
94 0.00221220718513 0.002068070381861
95 0.002127257252602 0.003122560206104
96 0.001898636403729 0.002609781939964
97 0.002534607108765 0.002996207116677
98 0.002612103430253 0.002778945468161
99 0.001837102220114 0.002656899751763
100 0.001734566190876 0.002468941663074
101 0.001734273382202 0.002253838122664
102 0.002251856657913 0.003178511928357
103 0.002695593806228 0.002540432630259
104 0.002699070274381 0.003475194166049
105 0.001989887270603 0.002289703958134
106 0.001640936530001 0.002471030959688
107 0.001540792706721 0.002608993445256
108 0.001683588413826 0.002601794592257
109 0.001346808942343 0.002351964975678
110 0.002022690502268 0.002499456819205
111 0.002839240491026 0.002733756448014
112 0.002091743335314 0.002166799930446
113 0.001865842975533 0.002503106656049
114 0.0017704364509 0.001923814713542
115 0.001778419478051 0.002402980733577
116 0.001607373607168 0.002633065860285
117 0.001946558370175 0.002112317870375
118 0.002615702748043 0.003388753703065
119 0.001693371108477 0.002858483494444
120 0.002084923275494 0.002412080854084
121 0.002019497662746 0.002944183621619
122 0.001642828234959 0.002418799961377
123 0.001777203700444 0.002711154750898
124 0.001458770450426 0.002111440105455
125 0.002670694998429 0.002010619364937
126 0.00186254523316 0.002254228408979
127 0.001454222157054 0.002213782046068
128 0.001987590639778 0.002585078060722
129 0.002018975452204 0.00223387073116
130 0.001948903039184 0.002436771460312
131 0.001640660524928 0.002338832190255
132 0.001618587611275 0.002315111073152
133 0.003184129063733 0.00309758014739
134 0.001941201904668 0.00258091257978
135 0.001420790168625 0.001953147872599
136 0.001458344256745 0.002011593486448
137 0.001474778703169 0.002182526817995
138 0.001530874542576 0.002277164861262
139 0.001423616228344 0.002154292385964
140 0.002603470530362 0.003228092770657
141 0.00159244382025 0.002363409677859
142 0.002026166575139 0.00186860061467
143 0.001477311206325 0.002245873396086
144 0.002027170582593 0.002362821981039
145 0.001899183430923 0.002320592511252
146 0.002895130152519 0.002090806693181
147 0.001951386690979 0.002120729764368
148 0.002141768624506 0.002519441411654
149 0.002065361473241 0.002498004926152
150 0.001732493739935 0.002293215433717
151 0.001547718911974 0.002318140534646
152 0.001568736846481 0.001978361428103
153 0.00240074721225 0.003209234433575
154 0.001432440991133 0.002059272803835
155 0.001573209456248 0.002154093030243
